UpperLimit,LowerLimit,DepthValid,Depth,WaterTempValid,WaterTemp,Temp2Valid,Temp2,Temp3Valid,Temp3,WaterSpeedValid,WaterSpeed,PositionValid,PositionX,PositionY,SurfaceDepth,SurfaceValid,TopOfBottomDepth,TopOfBottomValid,ColumnIs50kHz,TimeValid,TimeOffset[ms],SpeedTrackValid,Speed,Track,AltitudeValid,Altitude
0.000000,113.841194,T,68.610001,T,16.049999,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,5.454891,T,67.533920,F,T,155,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,68.430000,F,0.000000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,4.921260,T,67.533920,F,T,375,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,68.720001,T,16.020000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,5.158429,T,67.652504,F,T,595,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,68.940002,T,15.990000,F,0.000000,F,0.000000,F,0.000000,T,2209144,6431134,T,5.158429,T,67.474625,F,T,815,T,0.000000,1.051000,T,646.352783
0.000000,113.841194,T,68.050003,T,15.990000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,4.506214,T,67.000290,F,T,1035,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,67.269997,T,16.000000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,5.692060,T,66.229485,F,T,1255,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,66.470001,T,15.990000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,4.506214,T,65.399399,F,T,1475,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,65.660004,F,0.000000,F,0.000000,F,0.000000,F,0.000000,T,2209144,6431134,T,4.506214,T,64.806473,F,T,1695,T,0.000000,0.889500,T,645.427063
0.000000,113.841194,T,64.849998,T,15.970000,F,0.000000,F,0.000000,F,0.000000,T,2209144,6431134,T,4.506214,T,64.213547,F,T,1915,T,0.000000,0.889500,T,645.427063
0.000000,113.841194,T,64.590004,T,15.970000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,4.506214,T,63.620628,F,T,2135,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,63.520000,T,16.010000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,4.565506,T,63.027706,F,T,2355,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,62.450001,T,15.990000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,4.624799,T,62.671951,F,T,2575,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,62.470001,T,15.940000,F,0.000000,F,0.000000,F,0.000000,T,2209144,6431134,T,6.047813,T,62.434780,F,T,2795,T,0.000000,0.919600,T,644.926086
0.000000,113.841194,T,62.439999,F,0.000000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,5.573475,T,62.256905,F,T,3015,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,62.439999,T,15.960000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,4.861968,T,62.197613,F,T,3235,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,62.430000,T,15.970000,F,0.000000,F,0.000000,F,0.000000,F,0,0,T,4.743383,T,62.138321,F,T,3455,F,0.000000,0.000000,F,0.000000
0.000000,113.841194,T,62.420002,T,15.970000,F,0.000000,F,0.000000,F,0.000000,T,2209145,6431134,T,4.506214,T,61.960442,F,T,3675,T,0.000000,0.851800,T,644.974487
0.000000,113.841194,T,62.010002,T,15.950000,F,0.000000,F,0.000000,F,0.000000,T,2209145,6431134,T,4.980552,T,61.901150,F,T,3895,T,0.000000,0.851800,T,644.974487
