nr,X,Y,H,czas
tAuto61364,5545275.579,7421916.743,239.7134,05/26/2010 13:15:53
tAuto61365,5545276.577,7421916.101,239.7009,05/26/2010 13:15:54
tAuto61366,5545277.759,7421915.581,239.7148,05/26/2010 13:15:55
tAuto61367,5545278.758,7421914.879,239.6978,05/26/2010 13:15:56
tAuto61368,5545279.818,7421914.218,239.7156,05/26/2010 13:15:57
tAuto61369,5545280.726,7421913.455,239.7009,05/26/2010 13:15:58
tAuto61370,5545281.664,7421912.652,239.7123,05/26/2010 13:15:59
tAuto61371,5545282.572,7421911.85,239.7089,05/26/2010 13:16:00
tAuto61372,5545283.419,7421910.986,239.7172,05/26/2010 13:16:01
tAuto61373,5545284.357,7421910.224,239.7096,05/26/2010 13:16:02
tAuto61374,5545285.174,7421909.34,239.7049,05/26/2010 13:16:03
tAuto61375,5545286.05,7421908.557,239.7038,05/26/2010 13:16:04
tAuto61376,5545286.835,7421907.693,239.7121,05/26/2010 13:16:05
tAuto61377,5545287.742,7421906.95,239.7084,05/26/2010 13:16:06
tAuto61378,5545288.558,7421906.126,239.7085,05/26/2010 13:16:07
tAuto61379,5545289.403,7421905.342,239.7103,05/26/2010 13:16:08
tAuto61380,5545290.31,7421904.599,239.703,05/26/2010 13:16:09
tAuto61381,5545291.156,7421903.815,239.7227,05/26/2010 13:16:10
tAuto61382,5545292.032,7421903.052,239.7046,05/26/2010 13:16:11
tAuto61383,5545292.909,7421902.288,239.7156,05/26/2010 13:16:12
tAuto61384,5545293.785,7421901.565,239.7228,05/26/2010 13:16:13
tAuto61385,5545294.691,7421900.881,239.7234,05/26/2010 13:16:14
tAuto61386,5545295.717,7421900.399,239.7263,05/26/2010 13:16:15
tAuto61387,5545296.713,7421899.936,239.7269,05/26/2010 13:16:16
tAuto61388,5545297.892,7421899.615,239.719,05/26/2010 13:16:17
tAuto61389,5545298.918,7421899.172,239.7339,05/26/2010 13:16:18
tAuto61390,5545300.038,7421898.671,239.735,05/26/2010 13:16:19
tAuto61391,5545301.035,7421898.068,239.749,05/26/2010 13:16:20
tAuto61392,5545301.972,7421897.386,239.7546,05/26/2010 13:16:21
tAuto61393,5545302.848,7421896.662,239.7524,05/26/2010 13:16:22
tAuto61394,5545303.663,7421895.898,239.7722,05/26/2010 13:16:23
tAuto61395,5545304.509,7421895.094,239.788,05/26/2010 13:16:24
tAuto61396,5545305.324,7421894.27,239.7167,05/26/2010 13:16:25
tAuto61397,5545306.14,7421893.426,239.705,05/26/2010 13:16:26
tAuto61398,5545306.924,7421892.602,239.7087,05/26/2010 13:16:27
tAuto61399,5545307.74,7421891.778,239.7135,05/26/2010 13:16:28
tAuto61400,5545308.554,7421891.014,239.7283,05/26/2010 13:16:29
tAuto61401,5545309.43,7421890.31,239.7069,05/26/2010 13:16:30
tAuto61402,5545310.336,7421889.627,239.7176,05/26/2010 13:16:31
tAuto61403,5545311.181,7421888.903,239.7109,05/26/2010 13:16:32
tAuto61404,5545312.086,7421888.279,239.7142,05/26/2010 13:16:33
tAuto61405,5545312.929,7421887.654,239.7286,05/26/2010 13:16:34
tAuto61406,5545313.925,7421887.211,239.7071,05/26/2010 13:16:35
tAuto61407,5545314.828,7421886.747,239.7093,05/26/2010 13:16:36
tAuto61408,5545315.823,7421886.303,239.7036,05/26/2010 13:16:37
tAuto61409,5545316.758,7421885.76,239.7138,05/26/2010 13:16:38
tAuto61410,5545317.724,7421885.197,239.7124,05/26/2010 13:16:39
tAuto61411,5545318.659,7421884.673,239.7095,05/26/2010 13:16:40
