nr,X,Y,H,czas,tryb
0072_2011,5545141.9448,7422077.6987,238.9251,06/06/2011 10:20:05,Pomierzony
0073_2011,5545141.9043,7422077.8996,238.9465,06/06/2011 10:20:10,Pomierzony
0074_2011,5545141.8537,7422078.1046,238.9496,06/06/2011 10:20:15,Pomierzony
0075_2011,5545140.4046,7422079.3047,238.8998,06/06/2011 10:20:20,Pomierzony
0076_2011,5545138.5666,7422079.4269,238.9066,06/06/2011 10:20:25,Pomierzony
0077_2011,5545137.7245,7422078.2999,238.9327,06/06/2011 10:20:30,Pomierzony
0078_2011,5545138.7878,7422075.2207,239.042,06/06/2011 10:20:35,Pomierzony
0079_2011,5545141.1868,7422072.032,238.9897,06/06/2011 10:20:40,Pomierzony
0080_2011,5545144.2041,7422069.1196,238.9826,06/06/2011 10:20:45,Pomierzony
0081_2011,5545147.9357,7422066.6798,238.8635,06/06/2011 10:20:50,Pomierzony
0082_2011,5545151.5084,7422063.0522,238.8803,06/06/2011 10:20:55,Pomierzony
0083_2011,5545155.406,7422059.3771,238.8891,06/06/2011 10:21:00,Pomierzony
0084_2011,5545159.5538,7422056.2136,238.9088,06/06/2011 10:21:05,Pomierzony
0085_2011,5545163.4938,7422053.3902,238.8682,06/06/2011 10:21:10,Pomierzony
0086_2011,5545166.5282,7422050.9283,238.8929,06/06/2011 10:21:15,Pomierzony
0087_2011,5545169.6525,7422047.6074,238.8552,06/06/2011 10:21:20,Pomierzony
0088_2011,5545172.97,7422043.9545,238.8827,06/06/2011 10:21:25,Pomierzony
0089_2011,5545176.6748,7422040.6398,238.8689,06/06/2011 10:21:30,Pomierzony
0090_2011,5545179.6238,7422037.3439,238.8679,06/06/2011 10:21:35,Pomierzony
0091_2011,5545182.4029,7422034.2654,238.8756,06/06/2011 10:21:40,Pomierzony
0092_2011,5545185.0186,7422030.9227,238.8566,06/06/2011 10:21:45,Pomierzony
0093_2011,5545186.9349,7422027.2033,238.8804,06/06/2011 10:21:50,Pomierzony
0094_2011,5545189.1908,7422023.331,238.8618,06/06/2011 10:21:55,Pomierzony
0095_2011,5545191.9783,7422019.5838,238.8729,06/06/2011 10:22:00,Pomierzony
0096_2011,5545195.5862,7422016.2215,238.8688,06/06/2011 10:22:05,Pomierzony
0097_2011,5545199.0562,7422012.7842,238.8622,06/06/2011 10:22:10,Pomierzony
0098_2011,5545202.0261,7422008.8277,238.8647,06/06/2011 10:22:15,Pomierzony
0099_2011,5545204.2928,7422004.7223,238.8509,06/06/2011 10:22:20,Pomierzony
0100_2011,5545206.0084,7422000.2637,238.8781,06/06/2011 10:22:25,Pomierzony
0101_2011,5545208.7641,7421996.5574,238.8622,06/06/2011 10:22:30,Pomierzony
0102_2011,5545211.8059,7421993.0599,238.9083,06/06/2011 10:22:35,Pomierzony
0103_2011,5545215.24,7421989.6455,238.8675,06/06/2011 10:22:40,Pomierzony
0104_2011,5545219.4532,7421987.013,238.8752,06/06/2011 10:22:45,Pomierzony
0105_2011,5545223.6505,7421984.3519,238.8805,06/06/2011 10:22:50,Pomierzony
0106_2011,5545227.4934,7421981.3369,238.8678,06/06/2011 10:22:55,Pomierzony
0107_2011,5545230.9834,7421978.0498,238.8563,06/06/2011 10:23:00,Pomierzony
0108_2011,5545234.1463,7421974.7256,238.8545,06/06/2011 10:23:05,Pomierzony
0109_2011,5545237.0296,7421971.0761,238.8675,06/06/2011 10:23:10,Pomierzony
0110_2011,5545240.2592,7421967.2177,238.8744,06/06/2011 10:23:15,Pomierzony
0111_2011,5545243.2617,7421963.2861,238.8784,06/06/2011 10:23:20,Pomierzony
0112_2011,5545246.1091,7421959.2231,238.8699,06/06/2011 10:23:25,Pomierzony
0113_2011,5545248.5997,7421954.926,238.8725,06/06/2011 10:23:30,Pomierzony
0114_2011,5545251.7053,7421950.8245,238.8726,06/06/2011 10:23:35,Pomierzony
0115_2011,5545255.0005,7421946.872,238.8693,06/06/2011 10:23:40,Pomierzony
0116_2011,5545257.5919,7421942.6852,238.8484,06/06/2011 10:23:45,Pomierzony
0117_2011,5545259.7494,7421938.8586,238.8581,06/06/2011 10:23:50,Pomierzony
0118_2011,5545188.8199,7422174.1226,-470.9254,06/06/2011 10:24:00,Pomierzony
0119_2011,5545263.2836,7421929.5321,238.8748,06/06/2011 10:24:05,Pomierzony
0120_2011,5545262.1591,7421926.6009,238.8826,06/06/2011 10:24:10,Pomierzony
0121_2011,5545259.5638,7421925.4038,238.8788,06/06/2011 10:24:15,Pomierzony
0122_2011,5545256.8332,7421926.3515,238.8642,06/06/2011 10:24:20,Pomierzony
0123_2011,5545254.2845,7421929.3588,238.8841,06/06/2011 10:24:25,Pomierzony
