nr,tryb,czas,Y,X,H
Auto90181,Navigated,05/17/2012 09:23:37,7422031.8527,5545128.4388,237.0386
Auto90182,Navigated,05/17/2012 09:23:38,7422031.8534,5545128.4317,237.0223
Auto90183,Navigated,05/17/2012 09:23:39,7422031.8458,5545128.4249,237.0017
Auto90184,Navigated,05/17/2012 09:23:40,7422031.8381,5545128.4333,237.0052
Auto90185,Navigated,05/17/2012 09:23:41,7422031.8233,5545128.441,237.0013
Auto90186,Navigated,05/17/2012 09:23:42,7422031.6035,5545129.3342,237.6992
Auto90187,Navigated,05/17/2012 09:23:43,7422031.6243,5545129.3493,237.7589
Auto90188,Navigated,05/17/2012 09:23:44,7422031.8261,5545127.9839,236.4806
Auto90189,Navigated,05/17/2012 09:23:45,7422031.8253,5545128.0371,236.4119
Auto90190,Navigated,05/17/2012 09:23:46,7422031.8239,5545128.0124,236.4417
Auto90191,Navigated,05/17/2012 09:23:47,7422031.813,5545127.9398,236.6178
Auto90192,Navigated,05/17/2012 09:23:48,7422031.6798,5545129.1814,237.4871
Auto90193,Navigated,05/17/2012 09:23:49,7422031.7115,5545129.4328,237.7863
Auto90194,Navigated,05/17/2012 09:23:50,7422031.7067,5545129.3366,237.6958
Auto90195,Navigated,05/17/2012 09:23:51,7422031.7005,5545129.5492,237.8631
Auto90196,Navigated,05/17/2012 09:23:52,7422031.0286,5545129.2858,239.2779
Auto90197,Navigated,05/17/2012 09:23:53,7422031.9494,5545127.3542,241.3765
Auto90198,Navigated,05/17/2012 09:23:54,7422032.3592,5545127.4918,240.4908
Auto90199,Navigated,05/17/2012 09:23:55,7422033.8808,5545126.1105,242.0071
Auto90200,Navigated,05/17/2012 09:23:58,7422028.6937,5545129.0022,243.2374
Auto90201,Navigated,05/17/2012 09:23:59,7422029.2673,5545128.6952,242.9001
Auto90202,Navigated,05/17/2012 09:24:04,7422031.2039,5545129.3501,237.7769
Auto90203,Navigated,05/17/2012 09:24:05,7422031.6395,5545127.207,236.6006
Auto90204,Navigated,05/17/2012 09:24:06,7422031.6514,5545127.1924,236.7121
Auto90205,Navigated,05/17/2012 09:24:07,7422031.8425,5545127.1207,236.819
Auto90206,Navigated,05/17/2012 09:24:08,7422031.9222,5545127.0914,236.7448
Auto90207,Navigated,05/17/2012 09:24:09,7422031.9743,5545127.0713,236.597
Auto90208,Navigated,05/17/2012 09:24:10,7422031.8544,5545128.7372,237.6973
Auto90209,Navigated,05/17/2012 09:24:11,7422031.8357,5545128.5194,237.1869
Auto90210,Navigated,05/17/2012 09:24:12,7422031.8347,5545128.6046,237.0452
Auto90211,Navigated,05/17/2012 09:24:13,7422031.7651,5545128.6769,237.1323
Auto90212,Navigated,05/17/2012 09:24:14,7422031.6643,5545128.8022,237.3336
Auto90213,Navigated,05/17/2012 09:24:15,7422033.5711,5545126.6054,231.0718
Auto90214,Navigated,05/17/2012 09:24:16,7422032.1123,5545128.5237,236.224
Auto90215,Navigated,05/17/2012 09:24:17,7422031.9554,5545128.7975,236.8451
Auto90216,Navigated,05/17/2012 09:24:18,7422033.6073,5545126.6096,230.8406
Auto90217,Navigated,05/17/2012 09:24:19,7422033.5945,5545126.5819,230.856
Auto90218,Navigated,05/17/2012 09:24:20,7422033.583,5545126.5924,230.868
Auto90219,Navigated,05/17/2012 09:24:21,7422033.5721,5545126.6085,230.877
Auto90220,Measured,05/17/2012 10:04:55,7421940.3497,5545095.8295,238.5166
Auto90221,Measured,05/17/2012 10:05:00,7421938.4271,5545090.9519,238.4707
Auto90222,Measured,05/17/2012 10:05:05,7421936.99,5545086.8565,238.4972
Auto90223,Measured,05/17/2012 10:05:10,7421935.8425,5545083.5517,238.5025
Auto90224,Measured,05/17/2012 10:05:15,7421935.7641,5545080.4297,238.5034
Auto90225,Measured,05/17/2012 10:05:20,7421934.6009,5545075.9316,238.4892
Auto90226,Measured,05/17/2012 10:05:25,7421933.7596,5545070.9455,238.4974
Auto90227,Measured,05/17/2012 10:05:30,7421932.7923,5545065.6386,238.5371
