nr,tryb,czas,Y,X,H
1018,Pomierzony,05/28/2015 09:09:04,7422056.6431,5545159.4688,241.2008
1019,Pomierzony,05/28/2015 09:09:05,7422057.1398,5545160.2319,241.1891
1020,Pomierzony,05/28/2015 09:09:06,7422057.5973,5545161.1065,241.1109
1021,Pomierzony,05/28/2015 09:09:07,7422058.1193,5545161.9392,241.0820
1022,Pomierzony,05/28/2015 09:09:08,7422058.5059,5545162.9011,241.0060
1023,Pomierzony,05/28/2015 09:09:09,7422058.9898,5545163.8268,240.9874
1024,Pomierzony,05/28/2015 09:09:10,7422059.3801,5545164.7986,240.9193
1025,Pomierzony,05/28/2015 09:09:11,7422059.7184,5545165.7906,240.8818
1026,Pomierzony,05/28/2015 09:09:12,7422060.0019,5545166.7802,240.8243
1027,Pomierzony,05/28/2015 09:09:13,7422060.2549,5545167.8102,240.7622
1028,Pomierzony,05/28/2015 09:09:14,7422060.4251,5545168.7856,240.7253
1029,Pomierzony,05/28/2015 09:09:15,7422060.5276,5545169.7944,240.6805
1030,Pomierzony,05/28/2015 09:09:16,7422060.5973,5545170.8059,240.5981
1031,Pomierzony,05/28/2015 09:09:17,7422060.5561,5545171.8416,240.5476
1032,Pomierzony,05/28/2015 09:09:18,7422060.6085,5545172.8498,240.4978
1033,Pomierzony,05/28/2015 09:09:19,7422060.6845,5545173.8859,240.4185
1034,Pomierzony,05/28/2015 09:09:20,7422060.7591,5545174.8519,240.3508
1035,Pomierzony,05/28/2015 09:09:21,7422060.6449,5545175.8860,240.3010
1036,Pomierzony,05/28/2015 09:09:22,7422060.6502,5545176.9509,240.2116
1037,Pomierzony,05/28/2015 09:09:23,7422060.5828,5545178.0475,240.1487
1038,Pomierzony,05/28/2015 09:09:24,7422060.5228,5545179.1203,240.0729
1039,Pomierzony,05/28/2015 09:09:25,7422060.6173,5545180.2143,240.0063
1040,Pomierzony,05/28/2015 09:09:26,7422060.6705,5545181.2898,239.9398
1041,Pomierzony,05/28/2015 09:09:27,7422060.8079,5545182.3778,239.8798
1042,Pomierzony,05/28/2015 09:09:28,7422060.8956,5545183.5011,239.8053
1043,Pomierzony,05/28/2015 09:09:29,7422061.0375,5545184.5828,239.7454
1044,Pomierzony,05/28/2015 09:09:30,7422061.0723,5545185.7218,239.6537
1045,Pomierzony,05/28/2015 09:09:31,7422061.2568,5545186.8162,239.5928
1046,Pomierzony,05/28/2015 09:09:32,7422061.3457,5545187.9537,239.5104
1047,Pomierzony,05/28/2015 09:09:33,7422061.5257,5545189.0388,239.4330
1048,Pomierzony,05/28/2015 09:09:34,7422061.6140,5545190.1899,239.3352
1049,Pomierzony,05/28/2015 09:09:35,7422061.8159,5545191.2696,239.2576
1050,Pomierzony,05/28/2015 09:09:36,7422061.9249,5545192.4242,239.1579
1051,Pomierzony,05/28/2015 09:09:37,7422062.1549,5545193.5226,239.0614
1052,Pomierzony,05/28/2015 09:09:38,7422062.2441,5545194.6831,238.9609
1053,Pomierzony,05/28/2015 09:09:39,7422062.3996,5545195.7810,238.8763
1054,Pomierzony,05/28/2015 09:09:40,7422062.3991,5545196.9560,238.7490
1055,Pomierzony,05/28/2015 09:09:41,7422062.4572,5545198.0820,238.6713
1056,Pomierzony,05/28/2015 09:09:42,7422062.4908,5545199.2647,238.5370
1057,Pomierzony,05/28/2015 09:09:43,7422062.5439,5545200.4194,238.4537
1058,Pomierzony,05/28/2015 09:09:44,7422062.5631,5545201.6092,238.3352
1059,Nawigacyjny,05/28/2015 09:09:45,7422062.4008,5545204.4459,239.4417
